****************************************************************************************** 
 OPINION SPAM DETECTING SYSTEM 
 TESTING RESULT 
 DESIGNED BY LONGNH & NGHIAPHT 
 UNIVERSITY OF TECHNOLOGY 
******************************************************************************************


*******************************
TEST SPAM 
*******************************
NUM 	 PRODUCT TYPE 	 EXPECTED TYPE 	 CONDITION1 	 CONDITION2 	 CONDITION3 	 CONDITION4 	 ACTUAL TYPE 	 RESULT
201	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
202	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
203	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
204	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
205	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
206	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
207	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
208	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
209	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
210	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
211	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
212	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
213	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
214	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
215	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
216	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
217	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
218	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
219	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
220	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
221	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
222	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
223	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
224	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
225	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
226	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
227	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
228	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
229	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
230	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
231	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
232	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
233	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
234	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
235	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
236	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
237	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
238	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
239	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
240	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
241	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
242	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
243	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
244	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
245	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
246	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
247	camera	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
248	camera	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
249	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
250	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
251	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
252	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
253	book	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
254	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
255	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
256	book	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
257	book	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
258	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
259	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
260	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
261	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
262	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
263	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
264	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
265	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
266	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
267	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
268	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
269	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
270	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
271	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
272	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
273	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
274	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
275	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
276	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
277	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
278	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
279	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
280	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
281	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
282	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
283	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
284	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
285	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
286	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
287	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
288	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
289	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
290	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
291	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
292	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
293	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
294	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
295	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
296	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
297	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
298	camera	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
299	camera	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
300	camera	off-topic	 false 	 false 	 false 	 false	non-spam	 fail


*******************************
TEST NON SPAM 
*******************************
NUM 	 PRODUCT TYPE 	 EXPECTED TYPE 	 CONDITION1 	 CONDITION2 	 CONDITION3 	 CONDITION4 	 ACTUAL TYPE 	 RESULT
1	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
2	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
3	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
4	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
5	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
